Regularisierer	Zielgroesse	Top1	Trainingszeit	
13.470792	68862592.000000	38.850000	23.834614	
13.007576	68862592.000000	44.830000	23.579171	
12.543502	68862592.000000	50.240000	23.751103	
12.079778	68862592.000000	53.350000	22.597193	
11.616431	68862592.000000	56.850000	23.668691	
11.153773	68862592.000000	58.420000	23.251168	
10.691686	68862592.000000	57.650000	23.638370	
10.230432	68862592.000000	64.470000	23.281048	
9.770153	68862592.000000	63.580000	23.539108	
9.311059	68862592.000000	64.220000	23.220286	
8.853276	68862592.000000	66.270000	23.660067	
8.397423	68862592.000000	65.330000	22.700524	
7.944332	68862592.000000	69.870000	23.457351	
7.494732	68862592.000000	69.030000	22.791721	
7.052678	68862592.000000	68.990000	23.227592	
6.622439	68862592.000000	70.100000	23.321505	
6.219330	68862592.000000	64.120000	22.645379	
5.899634	68862592.000000	69.150000	23.252578	
5.636416	68862592.000000	63.030000	22.683263	
5.386457	68862592.000000	54.730000	22.749779	
5.145788	68862592.000000	68.080000	23.468761	
4.916603	68862592.000000	65.510000	23.608497	
4.697026	68862592.000000	63.190000	22.860611	
4.488854	68862592.000000	58.600000	22.945534	
4.291246	68862592.000000	65.560000	24.202358	
4.098560	68862592.000000	67.530000	23.425073	
3.906550	68862592.000000	60.340000	22.773123	
3.715370	68862592.000000	71.080000	23.305366	
3.526352	68862592.000000	61.600000	22.980572	
3.340966	68862592.000000	60.340000	23.266054	
0.000000	452656.000000	0.000000	0.000000	
4.263902	68099442.000000	54.630000	23.354827	
4.032856	68099442.000000	71.700000	23.583259	
3.815579	68099442.000000	75.660000	23.947908	
3.628489	68099442.000000	58.740000	23.505577	
3.481792	68099442.000000	41.010000	24.114141	
3.351992	68099442.000000	46.200000	24.492185	
3.229545	68099442.000000	68.860000	24.126498	
3.109078	68099442.000000	59.230000	23.549936	
2.990216	68099442.000000	53.640000	22.876986	
2.873644	68099442.000000	65.370000	23.894949	
2.759317	68099442.000000	74.690000	23.498327	
2.644910	68099442.000000	71.310000	23.824867	
2.536348	68099442.000000	56.270000	23.616689	
2.428190	68099442.000000	68.480000	23.202861	
2.326833	68099442.000000	54.500000	23.569297	
2.227930	68099442.000000	53.450000	24.642024	
2.133276	68099442.000000	59.490000	24.028870	
2.044968	68099442.000000	65.650000	23.373847	
1.954310	68099442.000000	72.550000	23.627126	
1.867136	68099442.000000	68.070000	23.551574	
1.780269	68099442.000000	64.900000	23.974157	
1.693357	68099442.000000	52.220000	23.699958	
1.607167	68099442.000000	64.580000	23.909773	
1.521434	68099442.000000	62.330000	23.898470	
1.437548	68099442.000000	37.550000	22.997999	
1.352407	68099442.000000	70.870000	24.048728	
1.271670	68099442.000000	71.090000	23.918848	
1.189110	68099442.000000	57.890000	24.406839	
1.109776	68099442.000000	66.050000	23.640753	
1.030778	68099442.000000	62.240000	23.856695	
0.000000	481038.000000	0.000000	0.000000	
2.828894	69239446.000000	55.040000	25.603081	
2.686268	69239446.000000	50.260000	25.016941	
2.554276	69239446.000000	55.440000	25.296143	
2.439703	69239446.000000	65.030000	25.747863	
2.341240	69239446.000000	66.760000	24.918770	
2.253947	69239446.000000	57.810000	25.747930	
2.170830	69239446.000000	63.250000	25.291134	
2.090182	69239446.000000	67.230000	25.685513	
2.014475	69239446.000000	58.320000	25.906854	
1.940142	69239446.000000	56.330000	25.387250	
1.868327	69239446.000000	56.760000	24.862705	
1.797436	69239446.000000	50.870000	25.166372	
1.729126	69239446.000000	67.350000	25.947116	
1.660301	69239446.000000	62.010000	25.620654	
1.603836	69239446.000000	41.530000	25.595300	
1.551459	69239446.000000	68.120000	25.641642	
1.497745	69239446.000000	69.070000	25.150909	
1.445026	69239446.000000	63.790000	25.055637	
1.394330	69239446.000000	62.810000	25.251638	
1.343974	69239446.000000	74.270000	25.068732	
1.295820	69239446.000000	54.290000	25.481387	
1.248165	69239446.000000	64.550000	25.836980	
1.202062	69239446.000000	72.920000	25.293693	
1.155831	69239446.000000	50.680000	25.719877	
1.111741	69239446.000000	55.030000	25.151656	
1.068290	69239446.000000	48.230000	25.631370	
1.024726	69239446.000000	63.610000	25.395699	
0.983117	69239446.000000	64.630000	25.934400	
0.943846	69239446.000000	74.640000	24.891619	
0.914590	69239446.000000	62.590000	25.209117	
0.000000	454363.000000	0.000000	0.000000	
3.032825	69156652.000000	77.200000	25.301930	
2.939666	69156652.000000	73.740000	25.661345	
2.845537	69156652.000000	48.850000	25.408487	
2.754046	69156652.000000	51.790000	25.827740	
