Regularisierer	Zielgroesse	Top1	Trainingszeit	
16.114716	68862592.000000	35.240000	22.790313	
15.450362	68862592.000000	43.950000	23.128334	
14.785018	68862592.000000	48.080000	22.973914	
14.120276	68862592.000000	52.580000	23.030493	
13.456470	68862592.000000	57.880000	23.386078	
12.793385	68862592.000000	60.240000	23.219434	
12.131485	68862592.000000	62.090000	23.378370	
11.470960	68862592.000000	65.190000	23.913359	
10.812146	68862592.000000	60.380000	23.136242	
10.155647	68862592.000000	65.900000	23.289616	
9.503063	68862592.000000	67.360000	23.080965	
8.857455	68862592.000000	67.300000	23.282106	
8.223461	68862592.000000	66.920000	22.804384	
7.618850	68862592.000000	68.050000	23.425239	
7.123576	68862592.000000	56.830000	23.426810	
6.742099	68862592.000000	51.270000	22.556271	
6.388776	68862592.000000	64.350000	22.940074	
6.055379	68862592.000000	61.650000	22.363750	
5.733727	68862592.000000	56.020000	23.061432	
5.427574	68862592.000000	61.970000	23.527080	
5.133629	68862592.000000	59.550000	22.889739	
4.852094	68862592.000000	58.920000	23.102264	
4.579519	68862592.000000	54.190000	22.942027	
4.306742	68862592.000000	60.340000	22.762312	
4.038795	68862592.000000	65.560000	23.422227	
3.774004	68862592.000000	68.180000	22.983943	
3.518653	68862592.000000	69.250000	23.232954	
3.282035	68862592.000000	64.130000	23.664627	
3.099101	68862592.000000	50.890000	23.367372	
2.962668	68862592.000000	29.380000	23.723722	
0.000000	441424.000000	0.000000	0.000000	
5.210743	68826970.000000	60.330000	25.430136	
4.992549	68826970.000000	71.100000	25.564425	
4.777083	68826970.000000	58.660000	24.969620	
4.563716	68826970.000000	44.320000	25.875988	
4.355156	68826970.000000	72.200000	25.612293	
4.149094	68826970.000000	47.430000	25.411591	
3.954629	68826970.000000	68.650000	25.264122	
3.768871	68826970.000000	48.630000	25.148503	
3.584382	68826970.000000	48.290000	25.189219	
3.402893	68826970.000000	56.750000	25.443323	
3.223598	68826970.000000	36.930000	25.845135	
3.041178	68826970.000000	61.030000	25.880641	
2.862120	68826970.000000	60.140000	25.069634	
2.692145	68826970.000000	53.880000	25.841392	
2.526086	68826970.000000	61.850000	26.123844	
2.362579	68826970.000000	51.290000	25.791877	
2.200370	68826970.000000	60.960000	25.658545	
