Regularisierer	Zielgroesse	Top1	
10.809436	461872.000000	36.010000	
10.510730	461872.000000	45.520000	
10.211694	461872.000000	50.710000	
9.912847	461872.000000	54.480000	
9.614194	461872.000000	56.450000	
9.315827	461872.000000	58.240000	
9.017732	461872.000000	58.790000	
8.720092	461872.000000	61.780000	
8.422859	461872.000000	61.820000	
8.125997	461872.000000	66.890000	
7.829540	461872.000000	66.830000	
7.533792	461872.000000	66.310000	
7.238649	461872.000000	68.110000	
6.944597	461872.000000	69.200000	
6.651644	461872.000000	70.660000	
6.360803	461872.000000	73.110000	
6.072136	461872.000000	72.110000	
5.786339	461872.000000	70.700000	
5.505649	461872.000000	75.310000	
5.232684	461872.000000	71.020000	
4.974610	461872.000000	71.700000	
4.761270	461872.000000	68.670000	
4.587137	461872.000000	73.840000	
4.422734	461872.000000	36.090000	
4.265684	461872.000000	70.370000	
4.112817	461872.000000	63.950000	
3.964289	461872.000000	71.050000	
3.819469	461872.000000	72.550000	
3.681850	461872.000000	75.810000	
3.548260	461872.000000	56.780000	
3.420998	461872.000000	76.440000	
3.296553	461872.000000	70.470000	
3.173191	461872.000000	70.930000	
3.050502	461872.000000	74.770000	
2.928242	461872.000000	77.480000	
2.808711	461872.000000	73.440000	
2.691186	461872.000000	74.090000	
2.571980	461872.000000	66.260000	
2.456191	461872.000000	68.880000	
2.345038	461872.000000	60.960000	
2.241704	461872.000000	61.940000	
2.150449	461872.000000	70.680000	
2.075317	461872.000000	59.820000	
2.013060	461872.000000	72.270000	
1.955341	461872.000000	53.520000	
1.900257	461872.000000	59.460000	
1.848315	461872.000000	51.840000	
1.795757	461872.000000	69.060000	
1.745242	461872.000000	71.910000	
1.694796	461872.000000	69.180000	
1.644544	461872.000000	65.270000	
1.597770	461872.000000	70.250000	
1.549484	461872.000000	64.720000	
1.504135	461872.000000	68.040000	
1.460556	461872.000000	78.130000	
1.417556	461872.000000	64.620000	
1.377512	461872.000000	72.360000	
1.336271	461872.000000	78.840000	
1.297632	461872.000000	75.920000	
1.255124	461872.000000	74.980000	
1.218215	461872.000000	74.950000	
1.178298	461872.000000	65.060000	
1.140697	461872.000000	71.590000	
1.101524	461872.000000	73.310000	
1.065026	461872.000000	67.540000	
1.026109	461872.000000	79.480000	
0.987309	461872.000000	67.040000	
0.951507	461872.000000	79.010000	
0.913304	461872.000000	79.900000	
0.874665	461872.000000	73.680000	
0.838186	461872.000000	55.610000	
0.801608	461872.000000	82.110000	
0.766190	461872.000000	62.950000	
0.729936	461872.000000	68.170000	
0.694810	461872.000000	73.550000	
0.659563	461872.000000	60.260000	
0.626069	461872.000000	68.820000	
0.592026	461872.000000	77.540000	
0.561944	461872.000000	71.790000	
0.530987	461872.000000	70.950000	
0.504890	461872.000000	63.060000	
0.481553	461872.000000	74.510000	
0.463295	461872.000000	48.610000	
0.445555	461872.000000	60.630000	
0.433296	461872.000000	77.320000	
0.423776	461872.000000	64.100000	
0.413864	461872.000000	56.370000	
0.404581	461872.000000	49.670000	
0.396787	461872.000000	73.240000	
0.390287	461872.000000	76.330000	
0.383076	461872.000000	71.700000	
0.375440	461872.000000	63.750000	
0.370445	461872.000000	69.890000	
0.364277	461872.000000	70.600000	
0.358739	461872.000000	76.760000	
0.353332	461872.000000	68.930000	
0.350729	461872.000000	73.450000	
0.345584	461872.000000	68.490000	
0.340807	461872.000000	50.910000	
0.337373	461872.000000	78.920000	
0.333753	461872.000000	76.170000	
0.330199	461872.000000	63.450000	
0.326054	461872.000000	56.270000	
0.325264	461872.000000	68.490000	
0.320280	461872.000000	67.080000	
0.316624	461872.000000	70.530000	
0.315017	461872.000000	72.120000	
0.312809	461872.000000	68.430000	
0.313580	461872.000000	58.480000	
0.310553	461872.000000	61.840000	
0.309784	461872.000000	76.280000	
0.308070	461872.000000	62.260000	
0.305983	461872.000000	74.300000	
0.305948	461872.000000	69.930000	
0.306080	461872.000000	62.900000	
0.304192	461872.000000	76.230000	
0.303429	461872.000000	68.660000	
0.303551	461872.000000	76.260000	
0.303302	461872.000000	73.290000	
0.301385	461872.000000	68.580000	
0.300193	461872.000000	66.950000	
0.300480	461872.000000	73.310000	
0.299524	461872.000000	71.810000	
0.296712	461872.000000	69.270000	
0.296295	461872.000000	75.120000	
0.298404	461872.000000	76.060000	
0.297072	461872.000000	67.500000	
0.296879	461872.000000	69.620000	
0.296909	461872.000000	62.830000	
0.296114	461872.000000	62.400000	
0.294802	461872.000000	70.590000	
0.292650	461872.000000	63.750000	
0.292778	461872.000000	73.270000	
0.291524	461872.000000	70.550000	
0.291761	461872.000000	76.820000	
0.291767	461872.000000	71.340000	
0.289452	461872.000000	57.440000	
0.289534	461872.000000	63.650000	
0.289923	461872.000000	72.050000	
0.289197	461872.000000	63.760000	
0.289652	461872.000000	73.500000	
0.288356	461872.000000	62.780000	
0.287706	461872.000000	78.290000	
0.287103	461872.000000	79.630000	
0.286437	461872.000000	74.180000	
0.285885	461872.000000	66.880000	
0.284246	461872.000000	72.690000	
0.284378	461872.000000	73.090000	
0.283016	461872.000000	68.560000	
0.281902	461872.000000	70.660000	
0.282879	461872.000000	78.550000	
0.281230	461872.000000	66.670000	
0.280794	461872.000000	70.320000	
0.278661	461872.000000	73.890000	
0.281230	461872.000000	73.540000	
0.281314	461872.000000	77.990000	
0.279452	461872.000000	81.470000	
0.280184	461872.000000	60.340000	
0.279842	461872.000000	64.350000	
0.278464	461872.000000	66.670000	
0.280520	461872.000000	60.790000	
0.276485	461872.000000	78.060000	
0.277149	461872.000000	69.770000	
0.278001	461872.000000	64.480000	
0.276995	461872.000000	74.160000	
0.275758	461872.000000	80.850000	
0.275075	461872.000000	58.980000	
0.276971	461872.000000	72.300000	
0.276502	461872.000000	74.020000	
0.275761	461872.000000	65.490000	
0.273582	461872.000000	73.820000	
0.273186	461872.000000	75.820000	
0.274633	461872.000000	71.990000	
0.273718	461872.000000	73.950000	
0.273686	461872.000000	60.400000	
0.273753	461872.000000	78.510000	
0.272053	461872.000000	76.020000	
0.271451	461872.000000	77.100000	
0.269805	461872.000000	76.190000	
0.271376	461872.000000	58.580000	
nan	341344.000000	34.170000	
0.000000	0.000000	34.170000	
