BatchSize Acc Time
100 64.5 132.512
200 70.81 72.942
300 71.36 57.749
400 68.39 47.320
500 77.8 42.501
600 77.55 39.439
700 77.83 36.678
800 71.33 34.907
900 74.34 33.765
1000 75.71 34.757
1100 62.71 33.633
1200 78.05 32.416
1300 70.12 31.313
1400 68.2 30.716
1500 79.23 30.006
1600 71.73 29.659
1700 75.26 29.136
1800 71.36 28.537
1900 66.54 28.304 
