LearningRate	TrainLoss	ValidLoss	AvgAcc. 	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	0.298531	0.498358	81.789715	89.610000	83.540000	22.055898	1.426384	
0.100000	0.302529	0.621058	82.619662	89.602000	79.560000	22.584857	1.481892	
0.100000	0.305035	0.546262	82.240117	89.354000	82.860000	22.420791	1.589878	
0.100000	0.303455	0.488488	81.923042	89.438000	84.070000	22.624193	1.454089	
0.100000	0.299679	0.485316	82.263942	89.656000	84.840000	22.563470	1.463983	
0.100000	0.298344	0.500575	81.737689	89.760000	84.550000	22.516860	1.469492	
0.100000	0.297271	0.653366	82.740238	89.838000	80.150000	22.470174	1.519525	
0.100000	0.299649	0.460317	82.364958	89.598000	85.070000	22.503126	1.385149	
0.100000	0.295721	0.619383	81.930872	89.830000	80.480000	22.377199	1.551051	
0.100000	0.294394	0.403388	82.672834	89.882000	86.370000	22.269754	1.399569	
0.100000	0.294235	0.533872	82.539837	90.016000	83.140000	22.609632	1.305031	
0.100000	0.294939	0.618918	82.607470	90.020000	81.080000	22.007160	1.234518	
0.100000	0.292116	0.457915	81.997175	89.934000	84.670000	20.694525	1.184425	
0.100000	0.298487	0.561731	82.877967	89.756000	82.920000	20.860834	1.256538	
0.100000	0.295142	0.520652	82.509156	89.762000	83.360000	20.698942	1.150966	
0.100000	0.298104	0.644422	82.801130	89.816000	80.530000	20.913891	1.206997	
0.100000	0.294948	0.622484	82.939392	89.786000	80.530000	20.821694	1.267766	
0.100000	0.294302	0.466076	81.741658	89.828000	85.010000	20.834133	1.178424	
0.100000	0.294469	0.621486	83.093110	89.754000	81.270000	20.860339	1.181062	
0.100000	0.295108	0.486424	82.219433	89.772000	84.180000	20.923537	1.194454	
0.100000	0.282625	0.523083	82.927058	90.300000	82.800000	20.811255	1.170860	
0.100000	0.292451	0.533888	81.745021	89.854000	83.280000	20.783857	1.230386	
0.100000	0.287336	0.473962	82.874776	90.056000	84.150000	20.924031	1.229500	
0.100000	0.291107	0.626946	83.382060	90.030000	80.660000	20.810194	1.220711	
0.100000	0.295452	0.479183	83.073446	89.828000	84.220000	20.691633	1.232053	
0.100000	0.290259	0.493746	82.895880	89.874000	84.070000	20.717716	1.190336	
0.100000	0.286523	0.502585	82.838633	90.102000	83.520000	20.801517	1.262072	
0.100000	0.293303	0.449536	83.093652	89.910000	85.140000	20.719791	1.240180	
0.100000	0.287125	0.915679	83.248805	90.136000	74.890000	20.668672	1.224664	
0.100000	0.285361	0.758500	82.725429	90.188000	76.820000	20.851409	1.220007	
0.100000	0.285653	0.553652	81.769078	90.268000	83.170000	20.624442	1.272860	
0.100000	0.289555	0.663309	82.336513	89.918000	78.540000	20.618640	1.272072	
0.100000	0.283659	0.469225	82.266497	90.222000	84.350000	20.838069	1.286738	
0.100000	0.290141	0.448947	82.512229	90.000000	85.620000	20.702317	1.279455	
0.100000	0.291371	0.509358	82.670807	89.860000	83.640000	20.624468	1.308886	
0.100000	0.278046	0.546652	82.097265	90.388000	82.650000	20.732038	1.153153	
0.100000	0.281209	0.546189	82.844168	90.356000	82.270000	20.841932	1.191449	
0.100000	0.284635	0.503105	82.143587	90.116000	83.570000	20.841454	1.223590	
0.100000	0.291680	0.597743	83.087082	89.924000	81.430000	20.804197	1.203469	
0.100000	0.288856	0.499921	82.513239	90.068000	83.690000	20.683197	1.221783	
0.100000	0.280143	1.013884	82.291362	90.352000	72.240000	20.834609	1.178454	
0.100000	0.289161	0.440254	82.161863	90.112000	84.850000	20.696274	1.253408	
0.100000	0.285588	0.492601	82.082309	90.162000	84.250000	20.720778	1.278236	
0.100000	0.283200	0.589851	82.285767	90.244000	81.880000	20.782307	1.218920	
0.100000	0.285549	0.622502	81.850479	90.174000	81.080000	20.869146	1.245145	
0.100000	0.281715	0.546675	81.800771	90.220000	83.080000	20.801423	1.176407	
0.100000	0.284685	0.651949	82.530938	90.126000	80.170000	20.679997	1.207566	
0.100000	0.283976	0.637338	81.837959	90.156000	80.240000	20.688029	1.254392	
0.100000	0.286514	0.555758	82.155539	90.292000	82.300000	20.773909	1.182610	
