LearningRate	TrainLoss	ValidLoss	AvgAcc.		TrainAcc. 	ValidAcc. 	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	0.430816	1.108519	74.363022	85.138000	69.420000	13.975354	0.803017	
0.100000	0.428363	0.738113	74.294209	85.236000	76.290000	13.805425	0.792263	
0.100000	0.423944	0.549751	73.493439	85.520000	81.710000	13.980834	0.816795	
0.100000	0.429733	0.914137	73.497336	85.228000	73.030000	13.826489	0.760745	
0.100000	0.422880	0.809556	72.672096	85.468000	74.670000	13.789913	0.784724	
0.100000	0.428036	0.679975	74.521276	85.334000	77.690000	14.002105	0.780724	
0.100000	0.424403	0.569151	72.324542	85.436000	81.450000	13.872809	0.791789	
0.100000	0.433911	0.847040	75.576105	85.116000	74.650000	27.536753	0.912035	
0.100000	0.427644	1.182289	74.461057	85.296000	68.300000	42.210402	0.896619	
0.100000	0.428086	0.826018	75.209943	85.164000	74.860000	65.924826	0.895915	
0.100000	0.425983	0.590572	73.537918	85.498000	80.270000	77.782528	0.917852	
0.100000	0.423024	0.602305	75.276192	85.366000	79.730000	77.573885	1.015934	
0.100000	0.423614	0.588757	73.731939	85.414000	80.220000	77.452458	0.943779	
0.100000	0.425059	0.928401	76.486638	85.538000	72.590000	76.193314	0.885580	
0.100000	0.469522	0.773872	76.155734	83.890000	75.200000	104.320969	1.152479	
0.100000	0.427497	0.652142	75.288865	85.228000	78.340000	102.566368	1.290519	
0.100000	0.417458	0.664272	74.216462	85.640000	78.640000	103.406116	1.181010	
0.100000	0.414297	0.629424	75.857839	85.866000	79.020000	103.666811	1.383537	
0.100000	0.410960	0.573500	75.795856	85.974000	81.300000	103.617079	1.168899	
0.100000	0.405350	0.549945	77.266978	86.092000	81.390000	104.425361	1.270357	
0.100000	0.405948	0.533205	77.018340	86.104000	82.490000	103.015532	1.175013	
0.100000	0.408443	0.571889	77.718298	86.004000	81.110000	104.701326	1.306606	
0.100000	0.405154	0.693103	77.597398	86.230000	78.410000	106.580677	1.172750	
0.100000	0.398945	0.601687	77.613683	86.366000	79.570000	102.523027	1.335526	
0.100000	0.403299	0.678903	77.935055	86.088000	77.330000	104.188484	1.157015	
0.100000	0.398455	0.887375	77.750012	86.270000	73.890000	103.761220	1.399001	
0.100000	0.393464	0.639458	77.328951	86.318000	78.460000	103.967851	1.187012	
0.100000	0.397781	0.728742	76.913304	86.440000	76.000000	104.116409	1.414391	
0.100000	0.391374	0.831049	75.897384	86.458000	74.850000	105.120692	1.166867	
0.100000	0.388188	1.268593	76.422513	86.636000	66.520000	103.267831	1.245450	
0.100000	0.391981	0.836021	76.776779	86.624000	75.410000	105.100231	1.195084	
0.100000	0.382053	0.741064	77.472123	86.836000	76.780000	82.607156	1.051596	
0.100000	0.389145	0.822022	76.172676	86.672000	74.740000	17.551726	1.074778	
0.100000	0.384712	0.559424	76.317326	86.692000	81.210000	17.435415	1.053892	
0.100000	0.384474	0.636270	77.069558	86.896000	80.130000	17.459749	1.047869	
0.100000	0.383833	0.921883	77.810558	86.826000	72.980000	17.272137	1.071433	
0.100000	0.384552	0.865034	76.515890	86.740000	73.800000	17.172863	1.046321	
0.100000	0.377663	0.710634	75.422706	87.076000	77.500000	17.344193	1.054729	
0.100000	0.379231	0.685597	76.505048	86.886000	77.630000	17.360728	1.019922	
