,123,233,333,423
2760,11182,,,
2770,11099,,,
2780,10680,,,
2790,10771,,,
2800,10813,,,
2810,10804,,,
2820,10841,,,
2830,10818,,,
2840,10708,,,
2850,10746,,,
2860,10706,,,
2870,10802,,,
2880,10726,,,
2890,10785,,,
2900,10749,,,
2910,10734,,,
2920,10911,,,
2930,10819,,,
2940,10900,,,
2950,10297,,,
2960,10331,,,
2970,10352,,,
2980,10395,,,
2990,10308,,,
3000,10365,,,
3010,10425,,,
3020,10366,,,
3030,10404,,,
3040,10378,,,
3050,10305,,,
3060,10379,,,
3070,10403,,,
3080,10381,,,
3090,10415,,,
3100,10349,,,
3110,10414,,,
3120,10429,,,
3130,9934,,,
3140,9953,,,
3150,9974,,,
3160,9951,,,
3170,10032,,,
3180,10114,,,
3190,10121,,,
3200,10011,,,
3210,10176,,,
3220,9959,,,
3230,9977,,,
3240,10174,,,
3250,10053,,,
3260,10000,,,
3270,10094,,,
3280,10041,,,
3290,10031,,,
3300,10071,,,
3310,10042,,,
3320,10115,,,
3330,10080,,,
3340,9632,,,
3350,9522,,,
3360,9626,,,
3370,9580,,,
3380,9638,,,
3390,9654,,,
3400,9626,,,
3410,9755,,,
3420,9796,,,
3430,9676,,,
3440,9713,,,
3450,9648,,,
3460,9598,,,
3470,9641,,,
3480,9680,,,
3490,9733,,,
3500,9790,,,
3510,9607,,,
3520,9654,,,
3530,9754,,,
3540,9741,,,
3550,9707,,,
3560,9730,,,
3570,9741,,,
3580,9306,,,
3590,9281,,,
3600,9242,,,
3610,9341,,,
3620,9234,,,
3630,9301,,,
3640,9264,,,
3650,9330,,,
3660,9436,,,
3670,9274,,,
3680,9308,,,
3690,9373,,,
3700,9371,,,
3710,9373,,,
3720,9368,,,
3730,9355,,,
3740,9411,,,
3750,9397,,,
3760,9330,,,
3770,9362,,,
3780,9299,,,
3790,9359,,,
3800,9355,,,
3810,9336,,,
3820,9462,,,
3830,9364,,,
3840,9415,,,
3850,8922,,,
3860,8910,,,
3870,8931,,,
3880,8918,,,
3890,9016,,,
3900,8967,,,
3910,8968,,,
3920,8977,,,
3930,8883,,,
3940,8914,,,
3950,8945,,,
3960,9013,,,
3970,9121,,,
3980,9046,,,
3990,9011,,,
4000,9031,,,
4010,8976,,,
4020,8952,,,
4030,8981,,,
4040,9075,,,
4050,9004,,,
4060,9038,,,
4070,9004,,,
4080,8994,,,
4090,8973,,,
4100,9021,,,
4110,9129,,,
4120,9066,,,
4130,9021,,,
4140,9114,,,
4150,9096,,,
4160,8996,,,
4170,8648,,,
4180,8581,,,
4190,8614,,,
4200,8587,,,
4210,8609,,,
4220,8540,,,
4230,8583,,,
4240,8579,,,
4250,8592,,,
4260,8563,,,
4270,8579,,,
4280,8653,,,
4290,8641,,,
4300,8746,,,
4310,8750,,,
4320,8618,,,
4330,8617,,,
4340,8667,,,
4350,8670,,,
4360,8698,,,
4370,8713,,,
4380,8717,,,
4390,8647,,,
4400,8681,,,
4410,8686,,,
4420,8727,,,
4430,8680,,,
4440,8732,,,
4450,8698,,,
4460,8754,,,
4470,8679,,,
4480,8660,,,
4490,8785,,,
4500,8756,,,
4510,8698,,,
4520,8747,,,
4530,8778,,,
4540,8785,,,
4550,8302,,,
4560,8319,,,
4570,8292,,,
4580,8380,,,
4590,8398,,,
4600,8349,,,
4610,8299,,,
4620,8345,,,
4630,8327,,,
4640,8362,,,
4650,8367,,,
4660,8291,,,
4670,8329,,,
4680,8403,,,
4690,8376,,,
4700,8331,,,
4710,8342,,,
4720,8413,,,
4730,8372,,,
4740,8339,,,
4750,8449,,,
4760,8310,,,
4770,8397,,,
4780,8352,,,
4790,8347,,,
4800,8358,,,
4810,8405,,,
4820,8405,,,
4830,8457,,,
4840,8361,,,
4850,8401,,,
4860,8323,,,
4870,8373,,,
4880,8365,,,
4890,8438,,,
4900,8449,,,
4910,8421,,,
4920,8461,,,
4930,8400,,,
4940,8453,,,
4950,8415,,,
4960,8425,,,
4970,8437,,,
4980,8429,,,
4990,8452,,,
5000,8007,,,
5010,7959,,,
5020,7997,,,
5030,8030,,,
5040,8013,,,
5050,7967,,,
5060,8005,,,
5070,8046,,,
5080,8093,,,
5090,7964,,,
5100,8011,,,
5110,8002,,,
5120,7968,,,
5130,8044,,,
5140,8049,,,
5150,8007,,,
5160,8059,,,
5170,8059,,,
5180,8034,,,
5190,8016,,,
5200,8064,,,
5210,8051,,,
5220,8047,,,
5230,8140,,,
5240,8038,,,
5250,8049,,,
5260,8118,,,
5270,7995,,,
5280,8089,,,
5290,8080,,,
5300,8028,,,
5310,8091,,,
5320,8023,,,
5330,8037,,,
5340,8032,,,
5350,8052,,,
5360,8163,,,
5370,8091,,,
5380,8167,,,
5390,8096,,,
5400,8067,,,
5410,8027,,,
5420,8155,,,
5430,8088,,,
5440,8148,,,
5450,8096,,,
5460,8157,,,
5470,8062,,,
5480,8140,,,
5490,8127,,,
5500,8160,,,
5510,8172,,,
5520,8148,,,
5530,8133,,,
5540,8131,,,
5550,8112,,,
5560,7701,,,
5570,7717,,,
5580,7720,,,
5590,7739,,,
5600,7685,,,
5610,7728,,,
5620,7711,,,
5630,7730,,,
5640,7724,,,
5650,7746,,,
5660,7767,,,
5670,7689,,,
5680,7696,,,
5690,7782,,,
5700,7714,,,
5710,7738,,,
5720,7794,,,
5730,7723,,,
5740,7789,,,
5750,7734,,,
5760,7736,,,
5770,7768,,,
5780,7749,,,
5790,7832,,,
5800,7804,,,
5810,7783,,,
5820,7816,,,
5830,7815,,,
5840,7838,,,
5850,7821,,,
5860,7773,,,
5870,7805,,,
5880,7798,,,
5890,7775,,,
5900,7801,,,
5910,7886,,,
5920,7797,,,
5930,7743,,,
5940,7798,,,
5950,7795,,,
5960,7846,,,
5970,7812,,,
5980,7817,,,
5990,7814,,,
6000,7782,,,
6010,7800,,,
6020,7865,,,
6030,7866,,,
6040,7889,,,
6050,7876,,,
6060,7842,,,
6070,7762,,,
6080,7812,,,
6090,7914,,,
6100,7815,,,
6110,7904,,,
6120,7844,,,
6130,7885,,,
6140,7824,,,
6150,7931,,,
6160,7912,,,
6170,8001,,,
6180,7990,,,
6190,7946,,,
6200,7900,,,
6210,7995,,,
6220,7968,,,
6230,8006,,,
6240,8026,,,
6250,7499,,,
6260,7500,,,
6270,7564,,,
6280,7527,,,
6290,7557,,,
6300,7600,,,
6310,7561,,,
6320,7579,,,
6330,7569,,,
6340,7503,,,
6350,7683,,,
6360,7578,,,
6370,7570,,,
6380,7640,,,
