LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	Lasso/Full_loss	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.723970	5.838950	52.498000	15.180000	0.234616	7.058561	0.599524	
0.100000	1.731531	1.790808	51.922000	39.440000	0.233517	7.171104	0.499304	
0.100000	1.736047	1.475473	51.860000	48.310000	0.233730	7.238015	0.630580	
0.100000	1.734580	1.512718	51.752000	42.890000	0.230706	7.028244	0.532894	
0.100000	1.735532	4.285673	51.736000	19.620000	0.232421	7.554365	0.620468	
0.100000	1.729730	2.974150	51.834000	26.600000	0.232194	7.051117	0.574031	
0.100000	1.728474	1.913754	51.938000	40.090000	0.231875	7.180229	0.517344	
0.100000	1.739252	2.863642	51.670000	32.120000	0.233945	7.105561	0.533663	
0.100000	1.723893	1.994701	52.412000	36.810000	0.235211	7.172330	0.585588	
0.100000	1.738463	4.500311	51.668000	13.300000	0.232261	7.156977	0.674133	
0.100000	1.744700	2.347946	51.494000	34.620000	0.234425	7.098490	0.538352	
0.100000	1.735450	4.254191	51.936000	25.040000	0.233711	7.056817	0.558127	
0.100000	1.733797	4.473943	52.190000	19.580000	0.235647	7.286230	0.531632	
0.100000	1.727737	3.160042	52.112000	28.670000	0.235706	7.146523	0.601616	
0.100000	1.732503	8.019641	52.012000	11.150000	0.231896	7.603838	0.629150	
0.100000	1.738133	1.998551	51.640000	40.490000	0.232874	7.194840	0.589152	
0.100000	1.730097	2.089262	52.348000	33.200000	0.235490	7.242498	0.509295	
0.100000	1.731726	2.829616	52.072000	25.330000	0.231916	7.216210	0.572796	
0.100000	1.732466	1.568537	51.724000	43.840000	0.232493	7.213459	0.575361	
0.100000	1.734072	3.715191	51.464000	16.990000	0.231188	7.230043	0.584055	
0.100000	1.730688	1.793470	51.954000	38.690000	0.233899	7.307266	0.540080	
0.100000	1.729294	3.263470	51.992000	23.360000	0.233043	7.219842	0.512735	
0.100000	1.734889	5.900812	51.840000	14.610000	0.234263	7.261559	0.556294	
0.100000	1.738987	1.501400	51.772000	47.330000	0.235001	7.121314	0.561691	
0.010000	1.494562	1.195715	58.866000	56.670000	0.238672	7.404072	0.646925	
0.010000	1.411264	1.808623	59.618000	44.530000	0.205770	7.084906	0.496751	
0.010000	1.387045	1.804587	59.290000	39.350000	0.185713	7.098772	0.578369	
0.010000	1.380747	2.756231	59.170000	34.380000	0.177977	7.346625	0.654887	
0.010000	1.376246	1.426808	59.102000	52.100000	0.175237	7.377954	0.500218	
0.010000	1.375034	2.650934	59.040000	29.730000	0.173773	7.311628	0.496130	
0.010000	1.381190	1.246994	58.944000	55.380000	0.174778	8.043595	0.474401	
0.010000	1.368345	1.213332	59.050000	56.520000	0.174839	7.350928	0.474010	
0.010000	1.374895	1.724797	59.054000	46.720000	0.174401	7.288607	0.648694	
0.010000	1.370662	2.373841	59.472000	32.790000	0.174789	7.358964	0.568684	
